"","target","N_Day","mes","year","nivel","tmed","pDia","niv7","niv14","niv30","niv60","niv90","niv180","t7","t14","t30","t60","t90","t180","p30","p60","p90","p180","niv010","niv020","niv030"
"9354",-13.7,38372,1,2005,613.58,5.75,0,613.89875,614.213333333333,614.894838709677,616.101802459016,617.344065384615,620.764170994475,2.875,2.9,2.70161290322581,4.24180327868852,5.79395604395604,12.6381215469613,0,27.7,53.7,245.8,-0.0909999999999968,-0.0875,-0.0856666666666645
"9361",-14.2,38379,1,2005,612.93,-7.25,0,613.255,613.576666666667,614.285806451613,615.506884426229,616.764614835165,620.228977624309,2.6875,2.58333333333333,2.95967741935484,3.77459016393443,4.92582417582418,11.835635359116,0,27.7,36.2,220.8,-0.0920000000000073,-0.0910000000000025,-0.0886666666666694
"9368",-14.5,38386,2,2005,612.3,3.25,0,612.6075,612.931333333333,613.661290322581,614.91557295082,616.174834615385,619.686270441989,-0.25,1.78333333333333,2.24193548387097,3.38114754098361,4.24450549450549,10.982044198895,0,14,27.7,165.4,-0.0910000000000082,-0.0915000000000021,-0.0900000000000015
"9375",-14.4,38393,2,2005,611.78,3.75,0,612.03,612.32,613.039677419355,614.340491803279,615.582417032967,619.12665718232,3.65625,1.6,2.32258064516129,3,3.93406593406593,10.2541436464088,11.25,11.25,38.95,166.65,-0.0769999999999982,-0.0855000000000018,-0.0873333333333335
"9382",-14.3,38400,2,2005,611.25,-0.75,0,611.51625,611.772666666667,612.441612903226,613.752950819672,614.993625824176,618.570193093923,3.71875,3.68333333333333,2.61290322580645,2.76639344262295,3.73626373626374,9.52900552486188,13.25,13.25,40.95,168.65,-0.0740000000000009,-0.0795000000000016,-0.0836666666666664
"9389",-14.7,38407,2,2005,610.71,-1.75,0,610.985,611.250666666667,611.868064516129,613.166065573771,614.408021428571,618.017872651934,-0.3125,1.86666666666667,1.54838709677419,2.40983606557377,3.26373626373626,8.69198895027624,13.25,13.25,40.95,165.65,-0.0769999999999982,-0.075,-0.0799999999999992
"9396",-14.7,38414,3,2005,610.2,2,0,610.46375,610.725333333333,611.324193548387,612.584426229508,613.830768681319,617.469143370166,0.65625,0.3,2.12903225806452,2.20901639344262,3.03571428571429,7.97513812154696,15,15,35.2,114.2,-0.075,-0.0754999999999995,-0.075
"9403",-14.7,38421,3,2005,609.62,3.5,0,609.92125,610.192,610.797096774194,612.007213114754,613.271098901099,616.922541160221,1.8125,1.18333333333333,1.82258064516129,2.04508196721311,2.6456043956044,7.20027624309392,10.75,15,15,114.2,-0.0809999999999945,-0.0774999999999977,-0.0766666666666651
"9410",-14.4,38428,3,2005,608.93,10.5,0,609.27875,609.598666666667,610.238387096774,611.424590163934,612.694065934066,616.367679281768,6.46875,4.18333333333333,2.14516129032258,2.51639344262295,2.6510989010989,6.77348066298343,7,18.25,18.25,87.95,-0.0960000000000036,-0.0865000000000009,-0.0823333333333342
"9417",-13.3,38435,3,2005,608.41,10.25,0,608.65625,608.97,609.66064516129,610.844590163934,612.109450549451,615.803977624309,12.375,9.35,4.78225806451613,3.45491803278689,3.35164835164835,6.55524861878453,5,18.25,18.25,87.95,-0.0830000000000041,-0.0855000000000018,-0.0823333333333342
"9424",-13,38442,3,2005,607.95,8.25,1,608.18625,608.422,609.096774193548,610.285901639344,611.531868131868,615.241436187845,10.93882975,11.7507092,7.3955044516129,4.82804324590164,4.08528173626374,6.29840131491713,9.75,24.75,24.75,94.45,-0.0669999999999959,-0.0779999999999973,-0.0799999999999992
"9431",-12.8,38449,4,2005,607.42,11,0,607.67,607.926666666667,608.534516129032,609.740491803279,610.959010989011,614.677624033149,9.375,10.2840425333333,9.21808509677419,5.66820718032787,4.53033668131868,5.96276595580111,10.75,25.75,25.75,86.45,-0.0730000000000018,-0.0710000000000036,-0.0796666666666662
"9438",-12.5,38456,4,2005,606.9,10.75,0,607.17625,607.423333333333,607.996774193548,609.200327868852,610.394065934066,614.113646132597,9.3125,9.23333333333333,10.5084076774194,6.16820718032787,5.01385316483517,5.78873280662983,9,16,27.25,81.95,-0.0710000000000036,-0.0725000000000023,-0.074666666666667
"9445",-11.9,38463,4,2005,606.34,11,0,606.625,606.900666666667,607.483548387097,608.656393442623,609.835054945055,613.548784254144,10.96875,10.1,10.427762516129,7.18869898360656,5.62649052747253,5.66166098342541,14.25,19.25,32.5,86.2,-0.0809999999999945,-0.0769999999999982,-0.0733333333333311
"9452",-11.2,38470,4,2005,605.77,16.25,0,606.05875,606.342,606.958064516129,608.107704918033,609.281978021978,612.982264917127,12.75,11.9166666666667,10.5403225806452,8.70509242622951,6.4534136043956,5.67132949171271,15.75,20.75,34,67.7,-0.082000000000005,-0.0795000000000016,-0.077666666666668
